"","Core","Depth","Acc.Mass","Age","Age.Pb","Age.C","Age1","Age.Pb1","Age.C1"
"211","Sg_588",134.112,4145.5,2236,756,2326,2304,824,2394
"212","Sg_588",135.128,4189.1,2259,765,2349,2327,833,2417
"213","Sg_588",136.144,4236.7,2285,774,2373,2353,842,2441
"214","Sg_588",137.16,4282.3,2308,783,2397,2376,851,2465
"215","Sg_588",138.176,4311.9,2324,790,2413,2392,858,2481
"216","Sg_588",139.192,4351.5,2344,798,2433,2412,866,2501
"217","Sg_588",140.208,4395.1,2367,807,2456,2435,875,2524
"218","Sg_588",141.224,4437.7,2388,816,2477,2456,884,2545
"219","Sg_588",142.24,4469.3,2403,822,2492,2471,890,2560
"220","Sg_588",143.256,4508.9,2423,830,2511,2491,898,2579
"221","Sg_588",144.272,4546.5,2440,838,2529,2508,906,2597
"222","Sg_588",145.288,4575.1,2454,844,2543,2522,912,2611
"223","Sg_588",146.304,4614.7,2474,852,2562,2542,920,2630
"224","Sg_588",147.32,4653.3,2492,859,2580,2560,927,2648
"225","Sg_588",148.336,4690.9,2510,867,2598,2578,935,2666
"226","Sg_588",149.352,4725.5,2527,874,2614,2595,942,2682
"227","Sg_588",150.368,4757.1,2542,881,2630,2610,949,2698
"228","Sg_588",151.384,4788.7,2557,887,2645,2625,955,2713
"229","Sg_588",152.4,4826.3,2575,894,2663,2643,962,2731
"230","Sg_588",153.416,4867.9,2595,903,2683,2663,971,2751
"231","Sg_588",154.432,4910.5,2615,911,2702,2683,979,2770
"232","Sg_588",155.448,4956.1,2637,921,2724,2705,989,2792
"233","Sg_588",156.464,4993.7,2655,928,2742,2723,996,2810
"234","Sg_588",157.48,5022.3,2669,934,2756,2737,1002,2824
"235","Sg_588",158.496,5074.9,2695,945,2781,2763,1013,2849
"236","Sg_588",159.512,5118.5,2715,954,2802,2783,1022,2870
"237","Sg_588",160.528,5153.1,2732,961,2818,2800,1029,2886
"238","Sg_588",161.544,5198.7,2755,970,2841,2823,1038,2909
"239","Sg_588",162.56,5230.3,2769,977,2855,2837,1045,2923
"240","Sg_588",163.576,5269.9,2789,985,2874,2857,1053,2942
"241","Sg_588",164.592,5312.5,2809,993,2894,2877,1061,2962
"242","Sg_588",165.608,5357.1,2831,1002,2916,2899,1070,2984
"243","Sg_588",166.624,5404.7,2854,1012,2939,2922,1080,3007
"244","Sg_588",167.64,5435.3,2869,1018,2953,2937,1086,3021
"245","Sg_588",168.656,5469.9,2885,1025,2970,2953,1093,3038
"246","Sg_588",169.672,5502.5,2900,1032,2985,2968,1100,3053
"247","Sg_588",170.688,5543.1,2920,1040,3005,2988,1108,3073
"248","Sg_588",171.704,5583.7,2940,1048,3024,3008,1116,3092
"249","Sg_588",172.72,5631.3,2962,1058,3046,3030,1126,3114
"250","Sg_588",173.736,5662.9,2977,1064,3061,3045,1132,3129
"251","Sg_588",174.752,5708.5,2999,1074,3082,3067,1142,3150
"252","Sg_588",175.768,5743.1,3016,1081,3099,3084,1149,3167
"253","Sg_588",176.784,5775.7,3032,1088,3115,3100,1156,3183
"254","Sg_588",177.8,5813.3,3050,1095,3133,3118,1163,3201
"255","Sg_588",178.816,5856.9,3072,1104,3153,3140,1172,3221
"256","Sg_588",179.832,5896.5,3091,1112,3172,3159,1180,3240
"257","Sg_588",180.848,5931.1,3107,1119,3188,3175,1187,3256
"258","Sg_588",181.864,5973.7,3128,1128,3208,3196,1196,3276
"259","Sg_588",182.88,6013.7,3147,1136,3228,3215,1204,3296
"260","Sg_588",183.896,6051.3,3165,1143,3246,3233,1211,3314
"261","Sg_588",184.912,6100.9,3189,1153,3270,3257,1221,3338
"262","Sg_588",185.928,6146.5,3212,1162,3292,3280,1230,3360
"263","Sg_588",186.944,6181.1,3229,1169,3308,3297,1237,3376
"264","Sg_588",187.96,6209.7,3243,1175,3322,3311,1243,3390
"265","Sg_588",188.976,6256.3,3265,1185,3344,3333,1253,3412
"266","Sg_588",189.992,6299.9,3285,1194,3365,3353,1262,3433
"267","Sg_588",191.008,6340.5,3305,1202,3384,3373,1270,3452
"268","Sg_588",192.024,6387.7,3328,1212,3407,3396,1280,3475
"269","Sg_588",193.04,6438.3,3352,1222,3432,3420,1290,3500
"270","Sg_588",194.056,6486.9,3375,1232,3455,3443,1300,3523
"271","Sg_588",195.072,6524.5,3393,1239,3473,3461,1307,3541
"272","Sg_588",196.088,6563.1,3412,1247,3491,3480,1315,3559
"273","Sg_588",197.104,6601.7,3431,1255,3510,3499,1323,3578
"274","Sg_588",198.12,6643.3,3451,1264,3529,3519,1332,3597
"275","Sg_588",199.136,6681.9,3470,1272,3548,3538,1340,3616
"276","Sg_588",200.152,6712.5,3484,1278,3562,3552,1346,3630
"277","Sg_588",201.168,6751.1,3503,1285,3580,3571,1353,3648
"278","Sg_588",202.184,6785.7,3520,1292,3596,3588,1360,3664
"279","Sg_588",203.2,6823.3,3538,1300,3614,3606,1368,3682
"280","Sg_588",204.216,6854.9,3553,1307,3629,3621,1375,3697
"281","Sg_588",205.232,6890.5,3570,1314,3646,3638,1382,3714
"282","Sg_588",206.248,6930.1,3589,1322,3665,3657,1390,3733
"283","Sg_588",207.264,6972.7,3610,1331,3685,3678,1399,3753
"284","Sg_588",208.28,7006.3,3626,1337,3700,3694,1405,3768
"285","Sg_588",209.296,7058.9,3652,1348,3725,3720,1416,3793
"286","Sg_588",210.312,7094.5,3669,1355,3742,3737,1423,3810
"287","Sg_588",211.328,7137.1,3690,1364,3763,3758,1432,3831
"288","Sg_588",212.344,7172.7,3707,1372,3780,3775,1440,3848
"289","Sg_588",213.36,7213.3,3727,1380,3799,3795,1448,3867
"290","Sg_588",214.376,7247.9,3743,1387,3815,3811,1455,3883
"291","Sg_588",215.392,7286.5,3761,1395,3833,3829,1463,3901
"292","Sg_588",216.408,7323.1,3779,1403,3851,3847,1471,3919
"293","Sg_588",217.424,7360.7,3797,1411,3868,3865,1479,3936
"294","Sg_588",218.44,7394.3,3813,1417,3884,3881,1485,3952
"295","Sg_588",219.456,7442.9,3837,1427,3908,3905,1495,3976
"296","Sg_588",220.472,7482.5,3855,1435,3926,3923,1503,3994
"297","Sg_588",221.488,7531.1,3879,1445,3950,3947,1513,4018
"298","Sg_588",222.504,7572.7,3898,1454,3969,3966,1522,4037
"299","Sg_588",223.52,7614.3,3918,1462,3988,3986,1530,4056
"300","Sg_588",224.536,7652.9,3936,1470,4006,4004,1538,4074
"301","Sg_588",225.552,7709.5,3963,1481,4033,4031,1549,4101
"302","Sg_588",226.568,7752.1,3984,1490,4053,4052,1558,4121
"303","Sg_588",227.584,7788.7,4001,1497,4071,4069,1565,4139
"304","Sg_588",228.6,7837.3,4025,1507,4094,4093,1575,4162
"305","Sg_588",229.616,7870.9,4041,1513,4110,4109,1581,4178
"306","Sg_588",230.632,7917.5,4063,1523,4132,4131,1591,4200
"307","Sg_588",231.648,7958.1,4083,1531,4151,4151,1599,4219
"308","Sg_588",232.664,8001.7,4104,1540,4172,4172,1608,4240
"309","Sg_588",233.68,8033.3,4119,1546,4187,4187,1614,4255
"310","Sg_588",234.696,8074.9,4139,1555,4207,4207,1623,4275
"311","Sg_588",235.712,8121.5,4162,1564,4228,4230,1632,4296
"312","Sg_588",236.728,8155.1,4178,1571,4244,4246,1639,4312
"313","Sg_588",237.744,8195.7,4198,1579,4262,4266,1647,4330
"314","Sg_588",238.76,8226.3,4213,1585,4277,4281,1653,4345
"315","Sg_588",239.776,8262.9,4231,1593,4294,4299,1661,4362
"316","Sg_588",240.792,8304.5,4250,1601,4314,4318,1669,4382
"317","Sg_588",241.808,8360.1,4277,1613,4340,4345,1681,4408
"318","Sg_588",242.824,8400.7,4296,1621,4359,4364,1689,4427
"319","Sg_588",243.84,8437.3,4313,1629,4376,4381,1697,4444
"320","Sg_588",244.856,8477.9,4333,1637,4396,4401,1705,4464
"321","Sg_588",245.872,8512.5,4349,1644,4412,4417,1712,4480
"322","Sg_588",246.888,8555.1,4370,1653,4432,4438,1721,4500
"323","Sg_588",247.904,8603.7,4394,1663,4455,4462,1731,4523
"324","Sg_588",248.92,8639.3,4411,1670,4471,4479,1738,4539
"325","Sg_588",249.936,8683.9,4433,1679,4493,4501,1747,4561
"326","Sg_588",250.952,8726.5,4452,1688,4513,4520,1756,4581
"327","Sg_588",251.968,8771.1,4474,1697,4534,4542,1765,4602
"328","Sg_588",252.984,8810.7,4493,1705,4553,4561,1773,4621
"329","Sg_588",254,8841.3,4508,1711,4567,4576,1779,4635
"330","Sg_588",255.016,8887.9,4530,1720,4589,4598,1788,4657
"331","Sg_588",256.032,8936.5,4553,1730,4612,4621,1798,4680
"332","Sg_588",257.048,8969.1,4569,1737,4628,4637,1805,4696
"333","Sg_588",258.064,9012.7,4590,1745,4649,4658,1813,4717
"334","Sg_588",259.08,9054.3,4609,1754,4668,4677,1822,4736
"335","Sg_588",260.096,9095.9,4629,1762,4689,4697,1830,4757
"336","Sg_588",261.112,9130.5,4646,1769,4704,4714,1837,4772
"337","Sg_588",262.128,9178.1,4669,1779,4727,4737,1847,4795
"338","Sg_588",263.144,9218.7,4688,1787,4746,4756,1855,4814
"339","Sg_588",264.16,9262.3,4709,1796,4766,4777,1864,4834
"340","Sg_588",265.176,9310.9,4732,1806,4789,4800,1874,4857
"341","Sg_588",266.192,9361.5,4757,1816,4813,4825,1884,4881
"342","Sg_588",267.208,9404.1,4778,1825,4834,4846,1893,4902
"343","Sg_588",268.224,9452.7,4802,1835,4856,4870,1903,4924
"344","Sg_588",269.24,9489.3,4819,1842,4873,4887,1910,4941
"345","Sg_588",270.256,9542.9,4846,1853,4899,4914,1921,4967
"346","Sg_588",271.272,9585.5,4866,1862,4919,4934,1930,4987
"347","Sg_588",272.288,9636.1,4890,1872,4944,4958,1940,5012
"348","Sg_588",273.304,9679.7,4911,1881,4965,4979,1949,5033
"349","Sg_588",274.32,9716.3,4929,1888,4981,4997,1956,5049
"350","Sg_588",275.336,9764.9,4953,1898,5004,5021,1966,5072
"351","Sg_588",276.352,9803.5,4971,1906,5022,5039,1974,5090
"352","Sg_588",277.368,9837.1,4987,1913,5038,5055,1981,5106
"353","Sg_588",278.384,9868.7,5002,1919,5053,5070,1987,5121
