Core;Core.ID;Ecosystem;Location;V vs B;Status;Specie;Life form;Lat;Long;Bioregions;Habitat.type;Water.Depth;Sampling Year;Min.Depth;Max.Depth;DBD;Corg;Corg_ gcm3;d13C;Mud
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;4.4508;5.5635;0.868999279;2.339705114;0.020332021;-13.33372787;1.782908962
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;6.6762;7.7889;0.822842238;2.058030091;0.016934341;-12.74918775;1.284688
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;8.9016;10.0143;0.776673428;1.776355068;0.013796478;-12.16464763;1.332061027
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;11.127;12.2397;0.817856765;2.845441835;0.023271639;;1.458283447
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;13.3524;14.4651;0.877611599;3.011770258;0.026431645;;1.935973016
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;15.5778;16.6905;0.771608063;2.070606546;0.015976967;-10.99556738;1.880685981
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;17.8032;18.9159;0.914445887;1.950221623;0.017833721;-11.03042877;2.091839202
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;20.0286;21.1413;0.87893537;0.917821185;0.008067055;-11.48801586;1.43751351
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;22.254;23.3667;1.048532881;0.480818067;0.005041536;-11.94560295;1.910518
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;24.4794;25.5921;1.235035462;0.609408637;0.007526413;-11.77039994;1.966148
Sg_003;J;Seagrass;Garden Island (Western Australia);Vegetated;;Posidonia;Persistent;-32.15815325;115.6715521;Temperate Southern Oceans;coastal;4;2012;26.7048;27.8175;1.042716119;1.355376911;0.014132734;-11.23694067;1.888934
