ID;Ecosystem;Lat;Long;nearest_long;nearest_lat;nitratos;pH;phosphates;temperature;water.velocity;salinidade
Mg_ 1093;Mangrove;27.581;-82.56375;-82.5750028;27.62499953;1.02863723;8.0653739;0.00104507;24.64132852;24.61711048;0.00838888
Mg_ 1094;Mangrove;27.58116667;-82.56388333;-82.5750028;27.62499953;1.02863723;8.0653739;0.00104507;24.64132852;24.61711048;0.00838888
Mg_ 1095;Mangrove;27.5813;-82.56395;-82.5750028;27.62499953;1.02863723;8.0653739;0.00104507;24.64132852;24.61711048;0.00838888
Mg_ 1096;Mangrove;17.691465;-88.11592;-88.12500299;17.6749997;0.05342823;8.05811816;0.00063421;28.31988228;28.29664512;0.02738104
Mg_ 1097;Mangrove;17.691475;-88.116119;-88.12500299;17.6749997;0.05342823;8.05811816;0.00063421;28.31988228;28.29664512;0.02738104
Mg_ 1098;Mangrove;17.691509;-88.116355;-88.12500299;17.6749997;0.05342823;8.05811816;0.00063421;28.31988228;28.29664512;0.02738104
Mg_ 1099;Mangrove;17.691458;-88.116596;-88.12500299;17.6749997;0.05342823;8.05811816;0.00063421;28.31988228;28.29664512;0.02738104
Mg_ 1100;Mangrove;17.691358;-88.116795;-88.12500299;17.6749997;0.05342823;8.05811816;0.00063421;28.31988228;28.29664512;0.02738104
Mg_ 1101;Mangrove;17.691317;-88.117022;-88.12500299;17.6749997;0.05342823;8.05811816;0.00063421;28.31988228;28.29664512;0.02738104
Mg_ 1108;Mangrove;10.10645927;-85.14926495;-85.12500289;10.12499983;0.34704107;8.02871728;0.24526096;30.00039559;29.94425497;0.01603282
Mg_ 1109;Mangrove;10.10660515;-85.14909075;-85.12500289;10.12499983;0.34704107;8.02871728;0.24526096;30.00039559;29.94425497;0.01603282
Mg_ 1110;Mangrove;10.10675103;-85.14891656;-85.12500289;10.12499983;0.34704107;8.02871728;0.24526096;30.00039559;29.94425497;0.01603282
Mg_ 1111;Mangrove;10.10689691;-85.14874236;-85.12500289;10.12499983;0.34704107;8.02871728;0.24526096;30.00039559;29.94425497;0.01603282
Mg_ 1112;Mangrove;10.10704279;-85.14856816;-85.12500289;10.12499983;0.34704107;8.02871728;0.24526096;30.00039559;29.94425497;0.01603282
Mg_ 1113;Mangrove;10.10718867;-85.14839396;-85.12500289;10.12499983;0.34704107;8.02871728;0.24526096;30.00039559;29.94425497;0.01603282
Mg_ 1114;Mangrove;10.10111362;-85.12767588;-85.12500289;10.12499983;0.34704107;8.02871728;0.24526096;30.00039559;29.94425497;0.01603282
Mg_ 1115;Mangrove;10.10132626;-85.12759862;-85.12500289;10.12499983;0.34704107;8.02871728;0.24526096;30.00039559;29.94425497;0.01603282
Mg_ 1116;Mangrove;10.1015389;-85.12752135;-85.12500289;10.12499983;0.34704107;8.02871728;0.24526096;30.00039559;29.94425497;0.01603282
Mg_ 1117;Mangrove;10.10175154;-85.12744409;-85.12500289;10.12499983;0.34704107;8.02871728;0.24526096;30.00039559;29.94425497;0.01603282
Mg_ 1118;Mangrove;10.10196418;-85.12736682;-85.12500289;10.12499983;0.34704107;8.02871728;0.24526096;30.00039559;29.94425497;0.01603282
Mg_ 1119;Mangrove;10.10217681;-85.12728956;-85.12500289;10.12499983;0.34704107;8.02871728;0.24526096;30.00039559;29.94425497;0.01603282
Mg_ 1120;Mangrove;8.28891;-82.3313;-82.32500279;8.324999859;0.18295096;8.04197827;0.18178553;28.84416307;28.79014321;0.04152222
Mg_ 1121;Mangrove;8.28891;-82.3313;-82.32500279;8.324999859;0.18295096;8.04197827;0.18178553;28.84416307;28.79014321;0.04152222
Mg_ 1122;Mangrove;8.28891;-82.3313;-82.32500279;8.324999859;0.18295096;8.04197827;0.18178553;28.84416307;28.79014321;0.04152222
Mg_ 1123;Mangrove;8.28891;-82.3313;-82.32500279;8.324999859;0.18295096;8.04197827;0.18178553;28.84416307;28.79014321;0.04152222
Mg_ 1124;Mangrove;8.28891;-82.3313;-82.32500279;8.324999859;0.18295096;8.04197827;0.18178553;28.84416307;28.79014321;0.04152222
Mg_ 1125;Mangrove;8.28891;-82.3313;-82.32500279;8.324999859;0.18295096;8.04197827;0.18178553;28.84416307;28.79014321;0.04152222
Mg_ 1126;Mangrove;20.48278;86.69051;86.77500294;20.47499965;7.39665063;8.11205027;0.01871826;27.82117846;27.89317117;0.05196066
