"","ID","Ecosystem","Av_C","SE_C","M_C","Av_Mud","SE_Mud","M_Mud","Av_13C","SE_13C","M_13C","Av_C_25","SE_C_25","M_C_25","Av_Mud_25","SE_Mud_25","M_Mud_25","Av_13C_25","SE_13C_25","M_13C_25"
"78","Mg_083","Mangrove",0.03388,0.00633067137039982,0.0344,NA,NA,NA,NA,NA,NA,0.0164,NA,0.0164,NA,NA,NA,NA,NA,NA
"79","Mg_084","Mangrove",0.05206,0.00438549883137597,0.0557,NA,NA,NA,NA,NA,NA,0.0542,NA,0.0542,NA,NA,NA,NA,NA,NA
"80","Mg_085","Mangrove",0.36508,0.0244180547955811,0.3782,NA,NA,NA,NA,NA,NA,0.4108,NA,0.4108,NA,NA,NA,NA,NA,NA
"81","Mg_086","Mangrove",0.40928,0.0143368197310282,0.4279,NA,NA,NA,NA,NA,NA,0.4379,NA,0.4379,NA,NA,NA,NA,NA,NA
"82","Mg_087","Mangrove",0.30782,0.0263027260944564,0.3446,NA,NA,NA,NA,NA,NA,0.3545,NA,0.3545,NA,NA,NA,NA,NA,NA
"83","Mg_088","Mangrove",0.1915,0.047954426281627,0.1817,NA,NA,NA,NA,NA,NA,0.3022,NA,0.3022,NA,NA,NA,NA,NA,NA
"84","Mg_089","Mangrove",0.03964,0.0193033572209603,0.0238,NA,NA,NA,NA,NA,NA,0.1163,NA,0.1163,NA,NA,NA,NA,NA,NA
"85","Mg_090","Mangrove",0.21236,0.0441785536205069,0.2346,NA,NA,NA,NA,NA,NA,0.3133,NA,0.3133,NA,NA,NA,NA,NA,NA
"86","Mg_091","Mangrove",0.24264,0.0250664636516602,0.2124,NA,NA,NA,NA,NA,NA,0.3205,NA,0.3205,NA,NA,NA,NA,NA,NA
"87","Mg_092","Mangrove",0.20166,0.0385985828755409,0.2213,NA,NA,NA,NA,NA,NA,0.2788,NA,0.2788,NA,NA,NA,NA,NA,NA
"88","Mg_093","Mangrove",0.0086,0.00134944433008554,0.008,NA,NA,NA,NA,NA,NA,0.0136,NA,0.0136,NA,NA,NA,NA,NA,NA
"89","Mg_094","Mangrove",0.01342,0.000852877482408816,0.0129,NA,NA,NA,NA,NA,NA,0.0164,NA,0.0164,NA,NA,NA,NA,NA,NA
"90","Mg_095","Mangrove",0.01514,0.000802869852466762,0.0144,NA,NA,NA,NA,NA,NA,0.0144,NA,0.0144,NA,NA,NA,NA,NA,NA
"91","Mg_096","Mangrove",0.01102,0.000792085853932514,0.0105,NA,NA,NA,NA,NA,NA,0.0123,NA,0.0123,NA,NA,NA,NA,NA,NA
"92","Mg_097","Mangrove",0.01388,0.00106131993291373,0.0144,NA,NA,NA,NA,NA,NA,0.0162,NA,0.0162,NA,NA,NA,NA,NA,NA
"93","Mg_098","Mangrove",0.42508151747619,0.00213322674813594,0.426548166,NA,NA,NA,NA,NA,NA,0.42490724375,0.00223519674836078,0.425005264,NA,NA,NA,NA,NA,NA
"94","Mg_099","Mangrove",0.292694413935484,0.00292837169949436,0.297639473,NA,NA,NA,NA,NA,NA,0.2966448993,0.00368750712428645,0.299144264,NA,NA,NA,NA,NA,NA
"95","Mg_100","Mangrove",0.1375140164,0.00387219086392881,0.141484868,NA,NA,NA,NA,NA,NA,0.1375140164,0.00387219086392881,0.141484868,NA,NA,NA,NA,NA,NA
"96","Mg_101","Mangrove",0.296274598565217,0.00241689194652066,0.298640069,NA,NA,NA,NA,NA,NA,0.295392810894737,0.00270989774432386,0.298640069,NA,NA,NA,NA,NA,NA
